TRU,START_DATE,END_DATE,STATUS_DESCRIPTION,STREET_ACTIVITY,PREMISE_NO,STREET_NAME,BOROUGH,ZIP_CODE,FACILITY_AKA,FACILITY_TYPE,BIN,BLOCK,LOT,CROSS_STREET_ON,CROSS_STREET_BETWEEN,CROSS_STREET_AND,BUILDING_OWNER_NAME,CONTRACTOR_NAME,AIR_MONITOR_NAME,ENTIRE_FLOOR,FLOOR,SECTION,ACM_TYPE,ACM_AMOUNT,ACM_UNIT,ABATEMENT_TYPE,PROCEDURE_NAME,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA
TRU2949MN24,01/27/2025 12:00:00 AM,12/08/2025 12:00:00 AM,Postponed,No,3250,Broadway,Manhattan,10027,Manhattanville Houses Bld #1,Residence,1084124,01984,0001,,,,New York City Housing Authority (NYCHA),"New York Insulation, Inc.","Airtek Environmental, LLC",No,7th,East Façade,Exterior Window Frame Caulking,3,Square Feet,Removal,Exterior Vertical Surface,40.81709,-73.957261,9,7,219,1019840001,Manhattanville
TRU1996BK19,12/30/2019 12:00:00 AM,11/25/2020 12:00:00 AM,Postponed,No,24,Humboldt Street,Brooklyn,11206,"NYCHA BW1830617 Bushwick Houses, Building #2",Residence,3338433,03129,0001,,,,New York City Housing Authority (NYCHA),GNP Environmental Inc.,Genesis Environmental Consultants Inc.,No,20,Exterior Facade - Elevations #1 - 16,Tar / Flashing at Lintel / Spandrel Beam,2,Square Feet,Removal,Exterior Vertical Surface,40.702194,-73.9406,1,34,489,3031290001,Bushwick South
TRU2388MN24,10/14/2024 12:00:00 AM,09/25/2025 12:00:00 AM,Postponed,No,242,West 62nd Street,Manhattan,10023,NYCHA Amsterdam Houses Bldg 9,Residence,1082583,01154,0101,,,,New York City Housing Authority (NYCHA),"Abatement Unlimited, Inc.","Sound Environmental Associates, LLC",No,4,Elevator A Lobby,VAT & Mastic,5,Square Feet,Removal,DEP Variance,40.77349,-73.988486,7,6,151,1011540101,Lincoln Square
TRU1599BX24,01/27/2025 12:00:00 AM,12/12/2025 12:00:00 AM,Postponed,No,1670,Watson Avenue,Bronx,10472,NYCHA Sotomayor HousesBld. #7,Residence,2092791,03723,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,Roof,Bulkhead Roof Level,Flashing as ACM,50,Square Feet,Removal,Exterior Foam,40.827017,-73.871242,9,18,44,2037230001,Soundview-Bruckner
TRU2262BK24,12/11/2024 12:00:00 AM,11/11/2025 12:00:00 AM,Postponed,No,325,Classon Avenue,Brooklyn,11205,NYCHA - Lafayette Houses Bldg. #1,Residence,3321871,01938,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,1 - 13,Exterior Façade Elevation # 13,Vertical Expansion Joint Caulking,54,Square Feet,Removal,Exterior Vertical Surface,40.690026,-73.96022,3,35,233,3019380001,Bedford
TRU1185QN24,01/08/2025 12:00:00 AM,10/31/2025 12:00:00 AM,Postponed,No,50-14,31st Avenue,Queens,11377,"NYCHA 2413067 Woodside, Bld. #5",Residence,4431005,00738,0050,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,"Airtek Environmental, LLC",No,6,Exterior Facade - Elevations #17,Tar / Flashing at Lintel,13,Square Feet,Removal,Exterior Vertical Surface,40.757312,-73.908534,1,26,163,4007380050,Astoria
TRU3032MN24,02/11/2025 12:00:00 AM,12/18/2025 12:00:00 AM,Postponed,No,201,West 93rd Street,Manhattan,10025,De-Hostos Apartments Bldg.#1,Residence,1033648,01241,0025,,,,New York City Housing Authority (NYCHA),"Zoria Housing, LLC",Genesis Environmental Consultants Inc.,No,Roof,Water Tower Roof Perimeter,Contaminated Brick as ACM,50,Square Feet,Removal,Exterior Vertical Surface,40.792156,-73.971813,7,6,179,1012410025,Upper West Side
TRU0764BX20,01/04/2021 12:00:00 AM,08/30/2021 12:00:00 AM,Postponed,No,1050,Soundview Ave,Bronx,10472,"Sotomayor Houses, Bldg 6, Contract # RF1703090",Residence,2092789,03723,0001,,,,New York City Housing Authority (NYCHA),"S & N Builders, Inc.",Genesis Environmental Consultants Inc.,No,3rd,Exterior Facade Elevations:1 to 20,Window caulking,135,Square Feet,Removal,Exterior Vertical Surface,40.826106,-73.871081,9,18,44,2037230001,Soundview-Bruckner
TRU2622MN24,11/11/2024 12:00:00 AM,10/27/2025 12:00:00 AM,Postponed,No,3736,10th Avenue,Manhattan,10034,NYCHA Dyckman Houses Bldg 4,Residence,1080030,02216,0001,,,,New York City Housing Authority (NYCHA),"Abatement Unlimited, Inc.","Sound Environmental Associates, LLC",No,3,Elevator B Lobby,VAT & Mastic,5,Square Feet,Removal,DEP Variance,40.860063,-73.922148,12,10,299,1022160001,Marble Hill-Inwood
TRU1380BX24,11/25/2024 12:00:00 AM,10/16/2025 12:00:00 AM,Postponed,No,1720,Watson Avenue,Bronx,10472,"NYCHA Sotomayor Houses , Bld. #10",Residence,2092793,03723,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,6,Exterior Façade Elevations #5,Spandrel Membrane/Mastic,10,Square Feet,Removal,Exterior Vertical Surface,40.827279,-73.869258,9,18,44,2037230001,Soundview-Bruckner
TRU3056MN24,02/04/2025 12:00:00 AM,12/22/2025 12:00:00 AM,Postponed,No,3736,10th. Avenue,Manhattan,10034,Dyckman Bldg.#4,Residence,1080030,02216,0001,,,,New York City Housing Authority (NYCHA),"Zoria Housing, LLC","Airtek Environmental, LLC",No,6,Exterior Façade Elevation # 13,Contaminated Shelf Angle as ACM,15,Square Feet,Removal,Exterior Vertical Surface,40.860063,-73.922148,12,10,299,1022160001,Marble Hill-Inwood
TRU0267BK25,02/27/2025 12:00:00 AM,02/13/2026 12:00:00 AM,Postponed,No,60,Glenmore Avenue,Brooklyn,11212,"NYCHA 2413067 Howard, Bld. #6",Residence,3348343,03489,0001,,,,New York City Housing Authority (NYCHA),J & N Construction Group Corp.,Genesis Environmental Consultants Inc.,No,11,Exterior Facade - Elevations #1 - 3,Window Sill Caulking,1,Square Feet,Removal,Exterior Vertical Surface,40.671261,-73.908937,16,41,906,3034890001,Brownsville
TRU3054MN24,02/11/2025 12:00:00 AM,12/22/2025 12:00:00 AM,Postponed,No,3758,10th Avenue,Manhattan,10034,Dyckman Houses Bldg.#6,Residence,1080032,02216,0001,,,,New York City Housing Authority (NYCHA),"Zoria Housing, LLC","Airtek Environmental, LLC",No,3,"Exterior Façade Elevations #19,20",Contaminated Brick as ACM,29,Square Feet,Removal,Exterior Vertical Surface,40.860935,-73.921518,12,10,299,1022160001,Marble Hill-Inwood
